MAIN_ID,RA,DEC,Distance_distance
PN Pe  1-3,10 44 31.12,-61 39 38.5,5.659
IC 2621,11 00 20.0284,-65 14 57.829,4.924
PN We  1-5,06 41 34.590,-05 02 34.89,7.328
MPA J1719-3043,17 19 20.0703,-30 43 40.314,1564.21
NGC  6884,20 10 23.6424,+46 27 39.631,4.465
PN K  3-2,18 25 00.5652,-01 30 52.497,4.709
WRAY 16-244,17 01 17.2316,-70 06 03.236,5.243
PN K  3-41,19 39 15.86,+16 20 46.7,50.72
PN Sp    3,18 07 15.8007,-51 01 10.214,1.917
NGC  6326,17 20 46.252,-51 45 15.17,3.552
V* V471 Per,01 58 49.6646,+52 53 48.462,2.923
IC 2448,09 07 06.3191,-69 56 30.692,4.031
IC 4670,17 55 07.031,-21 44 40.04,4.253
PN G231.1+03.9,07 39 50.5576,-14 18 25.878,2181.977
PN H  1-12,17 26 24.2983,-35 01 41.378,2.26
PN V-V    3,18 37 11.11,-19 02 21.9,20.35
PN H  1-32,17 46 06.3276,-34 03 46.335,6.88
PN K  4-16,19 04 51.5055,+15 47 39.125,15.45
MCG-05-46-002,19 32 20.1648,-29 23 09.345,101.36
WRAY 16-229,16 39 28.1078,-36 34 16.612,6.212
PN H  1-29,17 44 13.8729,-34 17 32.824,4.477
Min 2-62,06 43 48.4473,-01 08 19.726,8.7
PN M  2-1,03 52 16.7461,+60 58 08.905,529.633
PN Pe  1-21,18 57 49.642,-05 27 39.73,5.182
PN M  2-38,18 19 25.19,-26 35 20.2,7.049
PN Th  3-9,17 23 59.2518,-31 01 51.494,18210.0
IC  289,03 10 19.3015,+61 19 00.913,1.51
IC 4776,18 45 50.705,-33 20 34.12,5.023
PN H  1-14,17 28 01.7515,-24 25 23.316,6.463
PN A66   34,09 45 35.3370,-13 10 15.835,0.736
PN Th  3-10,17 24 40.90,-30 51 59.6,12.47
PN H  1-17,17 29 40.5936,-28 40 22.333,26.0
SH  2-271,06 15.2,+12 22,3.9
PN Pe  2-12,18 01 10.2665,-27 38 19.740,12.33
